City,Latitude,Longitude,Temperature,Cloudiness,Wind Speed,Humidity
dingle,10.9995,122.6711,79.07,100,12.08,85
rio grande,-32.035,-52.0986,74.95,19,19.53,84
hobart,-42.8794,147.3294,66.74,40,8.05,48
tasiilaq,65.6145,-37.6368,2.16,100,4.16,69
bambous virieux,-20.3428,57.7575,73.65,20,4.61,94
bandarbeyla,9.4942,50.8122,74.39,75,13.04,57
bulgan,48.8125,103.5347,-15.29,70,2.86,97
hithadhoo,-0.6,73.0833,81.14,100,8.97,69
hilo,19.7297,-155.09,75.52,27,1.01,79
chipinge,-20.1883,32.6236,60.87,58,4.32,94
qui nhon,13.7667,109.2333,74.55,100,7.43,83
kahului,20.8947,-156.47,77.85,36,5.01,77
hersbruck,49.5125,11.4339,31.78,7,1.34,87
bengkulu,-3.8004,102.2655,76.42,100,4.32,81
calabozo,8.9242,-67.4293,84.45,13,5.32,41
new norfolk,-42.7826,147.0587,66.13,9,1.99,37
casablanca,33.5928,-7.6192,49.57,0,4.05,89
san patricio,28.017,-97.5169,64.09,0,12.75,78
padang,-0.9492,100.3543,75.25,100,2.66,73
mount gambier,-37.8333,140.7667,71.51,2,16.11,53
clyde river,70.4692,-68.5914,-16.37,100,31.07,76
mahebourg,-20.4081,57.7,73.69,20,4.61,94
eureka,40.8021,-124.1637,63.12,100,1.01,68
port augusta,-32.5,137.7667,82.71,0,4.34,23
krasnoselkup,65.7,82.4667,-11.09,3,9.69,84
laguna,38.421,-121.4238,70.54,0,4.61,52
kodiak,57.79,-152.4072,37.33,100,2.04,97
yellowknife,62.456,-114.3525,-12.48,75,2.3,77
ahipara,-35.1667,173.1667,80.69,95,20.54,77
umm kaddadah,13.6017,26.6876,55.38,13,16.26,22
grand gaube,-20.0064,57.6608,75.38,98,1.01,81
ribeira grande,38.5167,-28.7,60.15,100,11.81,75
kaitangata,-46.2817,169.8464,62.92,100,9.13,53
sistranda,63.7256,8.834,37.36,100,33.87,65
sidi ali,36.0998,0.4206,48.69,73,6.76,87
qaanaaq,77.484,-69.3632,-22.88,0,7.99,54
luderitz,-26.6481,15.1594,75.49,86,9.78,65
atar,20.5169,-13.0499,66.72,100,9.28,20
broome,42.2506,-75.833,46.65,99,11.01,55
cheremshanka,56.1192,60.268,0.84,90,2.53,100
sao filipe,14.8961,-24.4956,79.38,92,13.73,47
dunedin,-45.8742,170.5036,62.8,100,5.99,58
necochea,-38.5473,-58.7368,59.04,100,15.95,57
pevek,69.7008,170.3133,-28.75,99,6.33,99
tigil,57.8,158.6667,-3.24,37,2.39,94
vao,-22.6667,167.4833,80.33,100,14.29,83
campoverde,-8.4753,-74.8058,83.89,100,2.26,74
linjiang,41.8069,126.9078,17.51,87,1.45,81
coihaique,-45.5752,-72.0662,58.95,0,4.61,55
tobol,52.6844,62.5794,12.0,68,13.65,94
arraial do cabo,-22.9661,-42.0278,71.56,75,3.44,84
saint-pierre,-21.3393,55.4781,76.17,100,4.61,65
avarua,-21.2078,-159.775,84.25,54,10.36,74
butaritari,3.0707,172.7902,81.88,73,15.43,78
liseleje,56.0053,11.9483,30.9,0,3.0,86
georgetown,5.4112,100.3354,75.51,20,3.44,91
moindou,-21.6924,165.677,89.55,94,7.02,76
olafsvik,64.8945,-23.7142,27.75,100,22.57,72
teofilo otoni,-17.8575,-41.5053,69.76,100,3.33,96
nouadhibou,20.931,-17.0347,69.78,68,12.66,52
maniitsoq,65.4167,-52.9,28.6,100,16.67,95
lorengau,-2.0226,147.2712,83.88,100,3.91,73
los llanos de aridane,28.6585,-17.9182,63.12,40,7.0,40
praia da vitoria,38.7333,-27.0667,59.25,40,8.59,88
ancud,-41.8697,-73.8203,56.1,42,5.59,72
vila,42.0304,-8.1588,39.58,95,2.3,89
belle fourche,44.6714,-103.8522,25.29,87,10.6,58
timra,62.487,17.3257,26.28,100,3.44,63
koutiala,12.3917,-5.4642,71.78,0,9.69,14
castro,-24.7911,-50.0119,62.13,19,7.07,90
meulaboh,4.1363,96.1285,75.69,94,3.06,84
fairbanks,64.8378,-147.7164,6.03,99,3.56,72
mongoumba,3.6415,18.5936,71.51,85,1.68,25
tazovskiy,67.4667,78.7,-6.88,100,11.36,83
narsaq,60.9167,-46.05,23.77,100,6.62,84
esperance,-33.8667,121.9,76.84,100,5.21,92
nova olimpia,-14.7972,-57.2881,73.45,100,3.94,95
ilulissat,69.2167,-51.1,23.77,100,6.67,86
hailey,43.5196,-114.3153,13.93,76,1.99,73
walvis bay,-22.9575,14.5053,68.95,8,3.44,83
charyshskoye,51.3978,83.5598,-5.42,3,5.53,87
moba,33.2288,105.0179,28.29,100,3.94,89
cherskiy,68.75,161.3,-32.53,100,6.8,98
kattivakkam,13.2167,80.3167,79.07,15,7.83,80
conde,-7.2597,-34.9075,81.86,20,5.75,83
tuy hoa,13.0833,109.3,74.82,100,5.1,87
ossora,59.2353,163.0719,-0.8,15,3.98,96
foix,42.8333,1.5833,35.02,19,3.78,51
east london,-33.0153,27.9116,72.0,0,3.83,85
bredasdorp,-34.5322,20.0403,62.28,8,3.42,94
berlevag,70.8578,29.0864,30.27,100,19.84,67
upernavik,72.7868,-56.1549,-11.04,100,17.27,77
mahibadhoo,3.7833,72.9667,80.91,100,2.28,66
arlit,18.7369,7.3853,63.01,0,6.89,19
kruisfontein,-34.0033,24.7314,61.21,0,3.18,85
haines junction,60.7522,-137.5108,28.35,100,2.3,69
cidreira,-30.1811,-50.2056,74.46,0,20.31,83
dwarka,22.2394,68.9678,68.77,0,9.1,53
caruaru,-8.2833,-35.9761,72.05,43,5.19,84
miraflores,19.2167,-98.8083,61.27,1,5.66,37
moengo,5.6167,-54.4,72.27,64,2.13,98
candia,43.0779,-71.2767,40.91,100,6.15,60
talas,38.6908,35.5538,18.27,0,4.61,93
yamada,39.4667,141.95,36.61,11,1.39,59
urucara,-2.5364,-57.76,74.53,100,1.14,98
mogadishu,2.0371,45.3438,75.94,98,19.73,78
airai,-8.9266,125.4092,68.9,81,2.06,80
mackay,-21.15,149.2,84.18,40,13.8,65
nikolskoye,59.7035,30.7861,23.92,24,8.84,91
saint anthony,45.0205,-93.218,8.73,40,17.27,62
saint george,37.1041,-113.5841,66.79,0,8.01,19
port-gentil,-0.7193,8.7815,80.46,99,11.25,81
oban,56.4127,-5.4706,42.85,100,18.95,93
husavik,66.0449,-17.3389,22.91,100,8.68,86
saskylakh,71.9167,114.0833,5.7,99,13.94,90
norman wells,65.282,-126.8329,-7.56,20,0.0,71
borgarnes,64.5383,-21.9206,23.07,100,11.68,73
moa,20.6569,-74.9403,75.88,29,10.45,80
santa lucia,27.9117,-15.5407,58.32,0,11.5,59
baixa grande,-11.9597,-40.1681,73.81,28,5.75,80
pisco,-13.7,-76.2167,73.02,100,2.19,77
uyuni,-20.4597,-66.825,56.98,94,8.41,23
aksarka,66.5606,67.7975,-3.01,100,11.1,87
atbasar,51.8,68.3333,17.69,100,12.97,95
carmen,18.6333,-91.8333,74.34,0,11.16,84
tateyama,34.9833,139.8667,47.95,12,9.53,52
mukdahan,16.5833,104.5,73.71,72,9.01,73
vernon,50.2581,-119.2691,35.33,78,1.01,63
paamiut,61.994,-49.6678,31.66,100,24.43,76
pacific grove,36.6177,-121.9166,69.48,23,1.01,53
beamsville,43.1668,-79.4829,36.61,100,18.41,92
erenhot,43.6475,111.9767,4.69,79,4.23,86
farafangana,-22.8167,47.8333,75.24,49,3.24,88
pangoa,-12.1167,-73.0,68.76,100,1.03,99
hamilton,39.1834,-84.5333,43.75,100,4.0,84
igarka,67.4667,86.5833,-23.19,25,6.11,95
tuburan,6.6439,122.2736,81.84,58,2.53,74
salinas,36.6777,-121.6555,71.29,23,3.18,52
cuauhtemoc,28.4167,-106.8667,55.72,0,7.72,18
barauna,-5.08,-37.6167,78.48,97,9.28,78
mumford,5.2618,-0.759,79.05,100,6.06,87
santa vitoria do palmar,-33.5189,-53.3681,72.66,17,13.65,85
kollo,13.3043,2.339,70.75,0,9.64,11
santa cruz cabralia,-16.2781,-39.0247,76.55,45,3.83,89
mango,27.9797,-82.3065,62.91,0,3.44,81
saurimo,-9.6608,20.3916,62.92,96,0.18,96
coahuayana,18.7333,-103.6833,73.26,5,2.98,54
tatarsk,55.219,75.9828,-15.74,50,7.85,99
clarence town,-32.5833,151.7833,75.87,78,9.15,64
alugan,12.2188,125.4808,76.96,100,12.62,94
ambovombe,-25.1667,46.0833,74.08,2,10.76,91
saint-joseph,-21.3667,55.6167,74.77,39,6.29,73
high rock,26.6208,-78.2833,73.87,100,9.46,77
turukhansk,65.8167,87.9833,-20.99,4,5.95,88
kortkeros,61.8106,51.5806,15.8,99,5.59,95
aliartos,38.3667,23.1,39.72,42,3.27,79
ahuimanu,21.4447,-157.8378,79.84,7,5.99,61
college,64.8569,-147.8028,5.14,99,3.96,72
sioux lookout,50.1001,-91.917,-14.17,6,7.81,87
tiksi,71.6872,128.8694,-12.71,74,17.4,93
touros,-5.1989,-35.4608,79.61,90,8.34,80
vostok,46.4856,135.8833,18.66,100,3.0,93
zhangye,38.9342,100.4517,24.91,94,9.24,43
qena,26.1615,32.7183,50.02,0,2.51,61
sembe,1.6481,14.5806,70.41,12,1.77,53
manzhouli,49.6,117.4333,-10.35,37,4.65,96
mount isa,-20.7333,139.5,94.77,0,9.22,28
klaksvik,62.2266,-6.589,40.12,100,31.14,97
gat,31.61,34.7642,47.07,0,3.76,78
la ronge,55.1001,-105.2842,-6.5,100,2.59,99
lagoa,39.05,-27.9833,59.45,100,14.65,76
tadine,-21.55,167.8833,83.71,100,14.41,74
mushie,-3.0167,16.9,75.04,100,2.64,86
fortuna,40.5982,-124.1573,62.87,0,0.0,72
madison,34.7334,-86.5667,56.52,0,18.01,47
tromso,69.6496,18.957,25.11,75,5.75,80
bay roberts,47.5999,-53.2648,34.32,29,5.99,86
bingol,38.8847,40.4939,18.32,1,7.78,67
tuatapere,-46.1333,167.6833,59.83,88,13.53,64
sitka,57.0531,-135.33,40.46,100,8.95,98
wick,58.4333,-3.0833,41.05,100,24.16,81
araouane,18.9048,-3.5265,60.67,44,11.16,19
hobyo,5.3505,48.5268,75.25,100,14.25,67
juruti,-2.1522,-56.0922,75.99,100,0.56,93
bend,44.0582,-121.3153,49.39,0,9.22,40
axim,4.8699,-2.2405,78.24,74,6.33,88
babol,36.5513,52.679,47.41,100,4.03,83
abu dhabi,24.4667,54.3667,65.97,0,7.76,63
mana,5.6592,-53.7767,75.9,44,9.98,88
port lincoln,-34.7333,135.8667,71.74,0,12.82,59
mayumba,-3.432,10.6554,76.73,32,3.27,90
shingu,33.7333,135.9833,44.91,100,0.74,33
novoagansk,61.9449,76.6625,-15.03,6,6.6,99
hauterive,46.0901,3.4459,28.02,36,1.81,91
vila franca do campo,37.7167,-25.4333,61.2,72,2.24,76
tessalit,20.1986,1.0114,63.93,57,3.74,16
soltsy,58.1239,30.3238,19.92,73,7.87,95
kavieng,-2.5744,150.7967,83.89,27,3.56,68
asyut,27.181,31.1837,48.9,0,3.2,64
malayal,7.208,121.942,82.69,100,2.35,75
fare,-16.7,-151.0167,82.15,100,13.69,70
aleksandrov gay,50.147,48.5704,34.43,100,20.24,99
victoria,22.2855,114.1577,65.88,16,4.0,88
pangnirtung,66.1451,-65.7125,2.37,100,2.17,88
besskorbnaya,44.6447,41.311,33.4,1,0.94,85
altay,47.8667,88.1167,-0.13,22,8.3,69
camacha,33.0833,-16.3333,60.22,75,10.36,77
hasaki,35.7333,140.8333,43.2,99,12.8,51
kibaya,-5.3,36.5667,57.52,100,1.45,96
vicosa do ceara,-3.5622,-41.0922,67.69,98,4.36,94
lompoc,34.6391,-120.4579,80.82,1,6.73,55
san cristobal,7.7669,-72.225,71.78,56,1.03,88
suntar,62.1444,117.6319,-17.46,93,3.74,100
pemangkat,1.1667,108.9667,76.21,100,4.76,88
srandakan,-7.9386,110.2506,79.16,100,4.72,81
atambua,-9.1061,124.8925,79.77,100,0.63,77
mizur,42.8531,44.0531,15.6,0,7.47,65
port macquarie,-31.4333,152.9167,74.89,97,16.71,63
khilok,51.3674,110.4676,-10.19,96,1.01,97
isangel,-19.55,169.2667,87.91,75,10.36,74
oksfjord,70.2396,22.3479,14.23,100,5.17,84
goroka,-6.0834,145.3873,72.01,99,1.41,56
rakiv lis,51.6217,24.9243,32.68,82,12.19,92
bowen,-20.0167,148.2333,82.36,89,10.45,62
nemuro,43.3236,145.575,23.88,100,6.2,76
parrita,9.5201,-84.3225,80.73,32,0.27,80
santa cruz,-17.8,-63.1667,74.91,100,6.04,83
morgan city,29.6994,-91.2068,55.69,0,3.44,66
palmer,42.1584,-72.3287,43.95,75,8.05,49
kiunga,-6.1219,141.2906,87.19,36,2.24,58
talara,-4.5772,-81.2719,72.23,5,11.27,84
kota,25.1833,75.8333,54.86,0,3.18,43
ahome,25.9167,-109.1833,69.75,0,7.74,61
coquimbo,-29.9533,-71.3436,64.67,1,4.34,86
fort-shevchenko,44.5086,50.263,39.92,100,10.69,83
yara,20.2753,-76.9533,78.55,55,1.54,70
zeya,53.75,127.2667,-0.83,100,4.34,69
general pico,-35.6566,-63.7568,54.88,4,5.64,85
nome,64.5011,-165.4064,1.47,0,20.71,55
onokhoy,51.932,108.0747,-25.85,71,1.86,98
longyearbyen,78.2186,15.6401,21.04,75,3.44,86
teguise,29.0605,-13.564,57.42,0,3.44,51
geraldton,-28.7667,114.6,81.01,8,5.75,61
sibolga,1.7427,98.7792,75.18,100,4.14,85
portland,45.5234,-122.6762,61.2,5,14.0,29
saldanha,-33.0117,17.9442,64.33,18,15.28,93
nelson bay,-32.7167,152.15,76.84,83,4.0,57
kalmunai,7.4167,81.8167,76.26,100,3.8,89
beringovskiy,63.05,179.3167,-21.73,25,10.65,93
vanimo,-2.6741,141.3028,79.79,100,2.71,86
la tuque,47.4334,-72.7824,33.01,100,10.87,97
tecalitlan,19.4667,-103.3,68.45,5,4.85,41
marystown,47.1666,-55.1483,35.85,80,1.99,100
aswan,24.0934,32.907,52.21,0,10.54,63
casian,11.035,119.7136,81.0,68,19.44,78
luanda,-8.8368,13.2343,75.18,100,6.4,87
marrakesh,31.6315,-8.0083,51.87,0,4.61,66
cabo san lucas,22.8909,-109.9124,70.38,0,1.01,67
islampur,26.2667,88.2,55.89,0,3.71,63
falmouth,50.1544,-5.0711,45.5,99,18.01,67
lusaka,-15.4067,28.2871,61.09,99,4.81,96
zhigansk,66.7697,123.3711,-30.91,100,5.97,100
hailun,47.45,126.9333,0.37,45,6.4,95
katsuura,35.1333,140.3,48.15,21,11.07,57
pathein,16.7833,94.7333,71.46,0,8.55,67
sola,-13.8833,167.55,81.27,91,10.69,75
aldan,58.6031,125.3894,-17.77,100,2.55,98
sterling,39.0062,-77.4286,57.92,75,8.05,36
buncrana,55.1333,-7.45,46.22,100,17.27,90
wamba,8.9333,8.6,70.77,4,4.27,15
kirakira,-10.4544,161.9205,78.94,100,4.29,87
guerrero negro,27.9769,-114.0611,69.89,0,10.38,33
severomuysk,56.1481,113.4267,-29.51,16,1.88,94
aksu,41.1231,80.2644,24.33,5,5.39,45
kingisepp,59.3733,28.6134,22.87,33,8.39,91
constitucion,-35.3333,-72.4167,58.86,0,9.22,67
deputatskiy,69.3,139.9,-16.35,100,5.75,96
kokopo,-4.352,152.2633,82.99,74,2.98,71
grindavik,63.8424,-22.4338,28.87,0,11.5,80
anchorage,61.2181,-149.9003,24.69,100,8.01,79
villaviciosa,43.4813,-5.4357,49.68,100,4.83,91
banjarmasin,-3.3244,114.591,75.34,100,3.36,88
kotaparh,19.15,82.35,54.73,73,4.56,48
naze,28.3667,129.4833,60.04,74,9.98,65
saint-philippe,-21.3585,55.7679,75.29,22,5.59,71
hofn,64.2539,-15.2082,27.34,100,21.99,76
leshukonskoye,64.8989,45.7622,19.47,96,6.22,96
antofagasta,-23.65,-70.4,67.93,9,5.68,79
rio bueno,-40.3167,-72.9667,57.11,1,6.35,54
abakaliki,6.3163,8.1169,75.38,4,5.35,66
kota belud,6.351,116.4305,80.46,100,1.92,70
koppang,61.5706,11.0555,6.01,100,2.08,95
pangkalanbuun,-2.6833,111.6167,73.63,100,1.43,97
karasburg,-28.0167,18.75,79.32,98,12.66,35
uyemskiy,64.4743,40.8524,26.65,75,2.24,93
abalak,58.1286,68.5944,-3.15,99,12.59,88
tilichiki,60.4667,166.1,-12.41,3,9.42,84
lacombe,52.4668,-113.7353,25.32,76,7.38,58
virginia beach,36.8529,-75.978,54.61,28,3.0,48
alofi,-19.0595,-169.9187,81.28,2,19.57,74
vangaindrano,-23.35,47.6,74.34,47,3.29,91
nanpiao,41.0982,120.7479,22.57,100,6.08,58
humaita,-7.5061,-63.0208,74.53,100,2.86,97
potiskum,11.7091,11.0694,61.38,10,10.09,21
kaspiyskiy,45.3929,47.3707,39.54,100,11.81,88
alice springs,-23.7,133.8833,81.95,0,16.11,28
kloulklubed,7.0419,134.2556,82.9,27,20.65,76
odesskoye,54.2111,72.9651,-9.35,43,13.04,95
ahtopol,42.1,27.95,38.21,0,5.44,77
mangrol,21.1167,70.1167,66.06,5,10.89,38
pafos,34.7667,32.4167,46.18,75,6.91,71
ballina,-28.8667,153.5667,67.75,64,17.4,95
tukrah,32.5341,20.5791,51.57,2,7.07,75
sao desiderio,-12.3633,-44.9733,75.11,93,1.86,78
aasiaat,68.7098,-52.8699,18.05,100,8.72,95
iisalmi,63.5592,27.1907,15.82,12,4.5,96
san antonio,29.4241,-98.4936,66.72,0,5.75,37
codrington,-38.2667,141.9667,74.5,2,9.33,46
sargur,11.9833,76.4167,62.87,1,3.36,86
trincomalee,8.5711,81.2335,78.1,100,10.04,85
mareeba,-17.0,145.4333,83.57,7,4.76,70
qinzhou,21.95,108.6167,54.19,100,7.58,85
vilyuysk,63.7553,121.6247,-27.11,98,2.24,100
salisbury,51.0693,-1.7957,37.65,44,6.24,86
lata,40.1629,-8.3327,48.2,100,1.34,94
hanzhong,33.0728,107.0303,41.67,100,1.43,65
anadyr,64.75,177.4833,-32.01,60,8.08,66
san felipe,10.3399,-68.7425,69.82,99,4.47,95
uthai thani,15.3833,99.55,83.52,89,2.68,58
sao lourenco da serra,-23.8525,-46.9425,68.88,94,3.98,97
finschhafen,-6.6024,147.8681,79.95,100,5.48,82
lantawan,10.6167,123.9833,79.3,99,6.13,79
mankono,8.0586,-6.1897,74.82,12,3.22,19
olean,42.0776,-78.4297,39.69,100,13.8,100
kudahuvadhoo,2.6708,72.8944,80.83,99,0.47,67
sobolevo,54.4299,31.8996,23.14,100,6.76,96
tlacotalpan,18.6167,-95.6667,71.04,34,7.94,86
isilkul,54.9109,71.2728,-8.46,92,14.36,96
kautokeino,69.0125,23.0412,-8.23,94,2.17,100
nyagan,62.1406,65.3936,1.38,100,10.45,88
kananga,-5.8958,22.4178,69.67,99,4.61,93
kamina,-8.7386,24.9906,61.48,99,1.95,94
muncar,-8.4333,114.3333,78.08,100,3.67,85
cornelio procopio,-23.1811,-50.6467,77.63,1,7.52,80
palmerston,-12.486,130.9833,87.46,75,3.44,74
zlobin,45.2924,14.6541,36.7,75,27.63,56
mersing,2.4312,103.8405,74.91,100,5.19,91
glendive,47.1053,-104.7125,19.36,100,3.44,71
junin,-34.5838,-60.9433,54.93,100,13.42,93
thio,-21.6167,166.2167,89.56,99,7.2,80
phultala,22.7,89.5167,58.71,9,4.09,61
cafarnaum,-11.6936,-41.4683,69.76,5,4.65,73
khokhryaki,56.9156,53.3221,14.43,99,3.94,97
silale,55.4906,22.1814,28.9,9,8.48,79
merauke,-8.4667,140.3333,83.32,67,2.62,69
puerto rico,-26.796,-55.024,79.39,74,1.83,44
gold coast,-28.0,153.4333,79.66,75,13.8,76
karacakoy,41.4029,28.3834,39.25,0,7.52,79
ustye,59.6304,39.736,26.51,100,8.9,92
abu kamal,34.4506,40.9171,49.62,5,10.92,64
ocampo,21.65,-101.5,53.17,0,10.85,26
prince rupert,54.3161,-130.3201,38.86,89,1.36,77
senanga,-16.1167,23.2667,66.18,100,7.2,97
lavrentiya,65.5833,-171.0,-21.39,11,7.78,91
butajira,8.1167,38.3667,56.88,53,5.35,48
muyezerskiy,63.9333,31.65,13.89,98,9.93,95
porto belo,-27.1578,-48.5531,77.74,26,8.23,75
watford,51.6553,-0.396,35.26,65,8.08,89
springdale,36.1867,-94.1288,47.17,75,9.22,62
barkhan,29.8977,69.5256,45.72,0,2.68,28
charters towers,-20.1,146.2667,86.18,0,10.83,43
yar-sale,66.8333,70.8333,-1.14,100,16.4,82
miracema do tocantins,-9.5618,-48.3967,74.34,44,0.6,90
ponta delgada,37.7333,-25.6667,59.72,75,6.91,63
nieuwpoort,51.1244,2.7735,33.78,75,8.05,86
chunskiy,56.0815,99.6342,-24.84,19,2.19,100
te anau,-45.4167,167.7167,65.61,98,5.14,43
buluang,13.3068,123.3425,75.38,100,5.12,95
rio gallegos,-51.6226,-69.2181,61.59,100,25.68,55
xam nua,20.4197,104.0439,61.3,62,2.95,86
yulara,-25.2406,130.9889,85.84,0,16.11,23
porto novo,6.4965,2.6036,77.49,0,6.26,90
port hardy,50.6996,-127.4199,46.76,82,1.99,82
dandong,40.1292,124.3947,29.39,14,8.72,39
moroni,-11.7022,43.2551,78.44,100,1.01,77
kurchum,48.5722,83.6542,-2.33,89,3.53,95
belmonte,-15.8631,-38.8828,79.3,17,4.03,86
santiago de cao,-7.9589,-79.2392,69.93,100,8.05,83
nhulunbuy,-12.2333,136.7667,88.41,100,11.5,62
sirpur,19.4833,79.6,56.46,100,5.03,39
alpena,45.0617,-83.4327,31.05,100,4.61,91
sault sainte marie,46.5168,-84.3333,25.65,100,19.57,85
jiangyou,31.7667,104.7167,42.55,99,1.36,84
bethel,41.3712,-73.414,43.86,0,6.91,62
margate,51.3813,1.3862,38.66,87,5.01,86
vestmannaeyjar,63.4427,-20.2734,33.01,100,9.31,72
yarada,17.65,83.2667,73.72,75,2.3,88
miri,4.4148,114.0089,76.95,100,7.87,90
cap malheureux,-19.9842,57.6142,75.47,98,1.99,81
henties bay,-22.116,14.2845,70.86,8,10.2,88
whitehorse,60.7161,-135.0538,21.07,100,4.12,96
caravelas,-17.7125,-39.2481,75.65,42,4.41,88
sept-iles,50.2001,-66.3821,17.06,100,1.99,73
zunyi,27.6867,106.9072,38.44,100,3.67,92
caucaia,-3.7361,-38.6531,81.03,40,10.36,75
saint-donat-de-montcalm,46.3187,-74.2219,30.85,100,11.34,98
morondava,-20.2833,44.2833,79.7,84,3.18,85
mayna,54.1135,47.6231,17.28,100,5.01,98
faya,18.3851,42.4509,50.52,9,3.69,86
charlottesville,38.0293,-78.4767,55.33,75,12.66,40
magole,-6.3667,37.3667,69.37,100,2.1,97
christchurch,-43.5333,172.6333,65.16,75,3.44,91
mandali,33.7499,45.5541,52.66,13,3.67,67
seoul,37.5683,126.9778,35.06,99,6.91,80
nikolayevsk-na-amure,53.1406,140.73,21.15,100,4.54,92
diamantino,-14.4086,-56.4461,72.52,100,4.59,93
amapa,1.0,-52.0,72.25,74,2.55,98
north adams,42.7009,-73.1087,43.11,96,5.01,44
medea,36.2642,2.7539,39.65,100,2.21,91
